bowler,balls,runs_conceded,wickets,runs_per_ball,wicket_prob,economy
A Mishra,3444,4193,183,1.217479674796748,0.05313588850174216,7.304878048780488
YK Pathan,1184,1443,46,1.21875,0.03885135135135135,7.3125
SK Raina,930,1139,30,1.2247311827956988,0.03225806451612903,7.348387096774193
KH Pandya,2466,3024,97,1.2262773722627738,0.03933495539334955,7.357664233576642
AR Patel,3371,4138,137,1.2275289231681994,0.040640759418570156,7.365173539009197
B Lee,916,1126,30,1.2292576419213974,0.03275109170305677,7.3755458515283845
Shakib Al Hasan,1515,1864,71,1.2303630363036304,0.04686468646864687,7.3821782178217825
PP Ojha,1945,2399,99,1.2334190231362467,0.05089974293059126,7.40051413881748
Yuvraj Singh,882,1091,39,1.2369614512471656,0.04421768707482993,7.421768707482993
R Bhatia,1661,2059,82,1.2396146899458158,0.049367850692354005,7.437688139674895
S Nadeem,1444,1800,54,1.2465373961218837,0.037396121883656507,7.4792243767313025
SK Trivedi,1557,1944,73,1.2485549132947977,0.046885035324341684,7.491329479768787
STR Binny,611,763,28,1.248772504091653,0.04582651391162029,7.4926350245499185
SW Tait,534,668,26,1.250936329588015,0.04868913857677903,7.50561797752809
MM Patel,1382,1733,82,1.2539797395079595,0.059334298118668596,7.523878437047757
RJ Harris,865,1085,47,1.254335260115607,0.05433526011560694,7.526011560693642
GB Hogg,466,585,25,1.2553648068669527,0.0536480686695279,7.532188841201716
Z Khan,2276,2860,119,1.2565905096660808,0.05228471001757469,7.539543057996484
M Morkel,1699,2136,88,1.257210123602119,0.05179517363154797,7.5432607416127135
Mohammad Nabi,419,527,15,1.2577565632458234,0.03579952267303103,7.5465393794749405
CV Varun,1932,2432,102,1.25879917184265,0.052795031055900624,7.552795031055901
NM Coulter-Nile,892,1125,52,1.2612107623318385,0.05829596412556054,7.5672645739910305
B Kumar,4378,5541,213,1.26564641388762,0.04865235267245317,7.59387848332572
P Kumar,2637,3342,102,1.2673492605233219,0.038680318543799774,7.604095563139931
RA Jadeja,4127,5242,179,1.2701720377998547,0.043372910104191906,7.621032226799128
AC Thomas,327,416,16,1.27217125382263,0.04892966360856269,7.63302752293578
BW Hilfenhaus,390,497,23,1.2743589743589743,0.05897435897435897,7.646153846153846
RD Chahar,1703,2174,76,1.276570757486788,0.04462712859659425,7.659424544920728
WD Parnell,758,968,40,1.2770448548812665,0.052770448548812667,7.6622691292875995
Washington Sundar,1131,1447,41,1.2793987621573828,0.036251105216622455,7.676392572944296
Azhar Mahmood,552,707,31,1.2807971014492754,0.05615942028985507,7.684782608695652
IK Pathan,2113,2711,99,1.2830099384761002,0.04685281590156176,7.698059630856601
SR Watson,2137,2742,107,1.2831071595694898,0.0500701918577445,7.698642957416939
PV Tambe,674,866,28,1.28486646884273,0.04154302670623145,7.70919881305638
A Symonds,540,694,23,1.2851851851851852,0.04259259259259259,7.711111111111111
A Nehra,1974,2537,121,1.2852077001013171,0.061296859169199594,7.711246200607903
S Sreesanth,947,1221,43,1.2893347412882787,0.0454065469904963,7.736008447729672
RP Singh,1874,2417,100,1.2897545357524012,0.05336179295624333,7.7385272145144075
R Tewatia,866,1117,36,1.289838337182448,0.04157043879907621,7.7390300230946885
Imran Tahir,1340,1729,86,1.2902985074626865,0.06417910447761194,7.741791044776119
CH Gayle,584,755,19,1.292808219178082,0.032534246575342464,7.756849315068493
JC Archer,1279,1655,61,1.293979671618452,0.04769351055512119,7.763878029710712
IC Pandey,469,609,19,1.2985074626865671,0.04051172707889126,7.791044776119403
Harmeet Singh,574,747,31,1.3013937282229966,0.05400696864111498,7.80836236933798
P Negi,733,954,38,1.3015006821282402,0.05184174624829468,7.809004092769442
DL Chahar,2009,2621,91,1.304629168740667,0.04529616724738676,7.827775012444002
Sandeep Sharma,3168,4134,163,1.3049242424242424,0.0514520202020202,7.829545454545455
JH Kallis,1799,2348,74,1.3051695386325737,0.04113396331295164,7.8310172317954425
YS Chahal,3905,5112,229,1.309090909090909,0.05864276568501921,7.8545454545454545
A Singh,486,639,31,1.3148148148148149,0.06378600823045268,7.888888888888889
KK Cooper,600,789,36,1.315,0.06,7.89
Noor Ahmad,827,1088,48,1.3155985489721886,0.05804111245465538,7.893591293833132
ST Jayasuriya,301,396,16,1.3156146179401993,0.053156146179401995,7.893687707641195
M Ashwin,898,1182,35,1.3162583518930957,0.03897550111358575,7.897550111358575
CH Morris,1801,2377,107,1.319822320932815,0.05941143808995003,7.918933925596891
DT Christian,922,1218,40,1.3210412147505424,0.04338394793926247,7.926247288503254
L Balaji,1574,2083,85,1.3233799237611181,0.05400254129606099,7.940279542566708
AB Dinda,1589,2103,82,1.3234738829452486,0.051604782882315924,7.940843297671492
RG Sharma,349,462,16,1.32378223495702,0.045845272206303724,7.9426934097421205
Mustafizur Rahman,1419,1879,74,1.3241719520789288,0.05214940098661029,7.945031712473573
Harpreet Brar,826,1097,35,1.328087167070218,0.0423728813559322,7.968523002421307
