bowler,balls,runs_conceded,runs_per_ball,impact
Arshdeep Singh,841,1234,1.4673008323424495,-0.12248443166773826
AS Rajpoot,374,551,1.4732620320855614,-0.1284456314108502
Mohsin Khan,264,389,1.4734848484848484,-0.1286684478101372
Anureet Singh,308,454,1.474025974025974,-0.12920957335126282
HV Patel,569,839,1.4745166959578206,-0.12970029528310945
A Nortje,967,1434,1.482936918304033,-0.13812051762932187
JR Hopes,246,365,1.483739837398374,-0.1389234367236627
SN Thakur,1836,2738,1.491285403050109,-0.14646900237539784
KK Ahmed,960,1442,1.5020833333333334,-0.15726693265862224
HH Pandya,805,1216,1.5105590062111802,-0.16574260553646902
V Nigam,220,334,1.518181818181818,-0.17336541750710688
CJ Jordan,327,500,1.529051987767584,-0.1842355870928729
JC Archer,381,585,1.5354330708661417,-0.19061667019143047
SM Curran,865,1331,1.538728323699422,-0.19391192302471083
VG Arora,415,642,1.546987951807229,-0.20217155113251772
Joginder Sharma,272,421,1.5477941176470589,-0.20297771697234768
MP Stoinis,572,895,1.5646853146853146,-0.21986891401060338
Basil Thampi,285,446,1.5649122807017544,-0.22009588002704317
TU Deshpande,854,1337,1.5655737704918034,-0.22075736981709215
Mukesh Choudhary,334,523,1.5658682634730539,-0.22105186279834266
Yash Dayal,302,473,1.5662251655629138,-0.2214087648882026
PVD Chameera,283,446,1.5759717314487633,-0.23115533077405215
AD Russell,1198,1889,1.5767946577629381,-0.23197825708822695
AS Joseph,285,450,1.5789473684210527,-0.23413096774634146
Harshit Rana,504,796,1.5793650793650793,-0.2345486786903681
Yash Thakur,241,397,1.6473029045643153,-0.3024865038896041
MA Starc,480,791,1.6479166666666667,-0.3031002659919555
Mukesh Kumar,631,1059,1.6782884310618067,-0.3334720303870955
